Legislation Number,Number of Cosponsors
H.R. 5907,4
H.R. 5908,2
H.R. 5909,6
H.R. 5910,1
H.R. 5911,0
H.R. 5912,4
H.R. 5913,4
H.R. 5914,36
H.R. 5915,5
H.R. 5916,2
H.R. 5917,26
H.R. 5918,3
H.R. 5919,9
H.R. 5920,26
H.R. 5921,35
H.R. 5922,26
H.R. 5923,1
H.R. 5924,7
H.R. 5925,298
H.R. 5926,3
H.R. 5927,2
H.R. 5928,1
H.R. 5929,1
H.R. 5930,0
H.R. 5931,12
H.R. 5932,12
H.R. 5933,9
H.R. 5934,8
H.R. 5935,26
H.R. 5936,4
H.R. 5937,3
H.R. 5938,6
H.R. 5939,31
H.R. 5940,238
H.R. 5941,1
H.R. 5942,6
H.R. 5943,82
H.R. 5944,378
H.R. 5945,1
H.R. 5946,2
H.R. 5947,31
H.R. 5948,4
H.R. 5949,10
H.R. 5950,4
H.R. 5951,0
H.R. 5952,3
H.R. 5953,69
H.R. 5954,10
H.R. 5955,17
H.R. 5956,47
H.R. 5957,35
H.R. 5958,3
H.R. 5959,61
H.R. 5960,9
H.R. 5961,1
H.R. 5962,299
H.R. 5963,4
H.R. 5964,107
H.R. 5965,5
H.R. 5966,1
H.R. 5967,104
H.R. 5968,5
H.R. 5969,1
H.R. 5970,3
H.R. 5971,28
H.R. 5972,0
H.R. 5973,0
H.R. 5974,0
H.R. 5975,3
H.R. 5976,3
H.R. 5977,82
H.R. 5978,3
H.R. 5979,2
H.R. 5980,7
H.R. 5981,0
H.R. 5982,16
H.R. 5983,302
H.R. 5984,0
H.R. 5985,15
H.R. 5986,41
H.R. 5987,25
H.R. 5988,7
H.R. 5989,13
H.R. 5990,304
H.R. 5991,1
H.R. 5992,26
H.R. 5993,36
H.R. 5994,152
H.R. 5995,5
H.R. 5996,31
H.R. 5997,14
H.R. 5998,0
H.R. 5999,301
H.R. 6000,17
H.R. 6001,52
H.R. 6002,185
H.R. 6003,26
H.R. 6004,1
H.R. 6005,1
H.R. 6006,2
H.R. 6007,14
H.R. 6008,38
H.R. 6009,11
H.R. 6010,24
H.R. 6011,120
H.R. 6012,0
H.R. 6013,0
H.R. 6014,7
H.R. 6015,8
H.R. 6016,309
H.R. 6017,1
H.R. 6018,8
H.R. 6019,7
H.R. 6020,0
H.R. 6021,86
H.R. 6022,1
H.R. 6023,2
H.R. 6024,1
H.R. 6025,1
H.R. 6026,9
H.R. 6027,0
H.R. 6028,0
H.R. 6029,1
H.R. 6030,23
H.R. 6031,3
H.R. 6032,106
